"period_key","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99"
"2024-10",11,7,7,9,5,9,2,7,7,4,12,3,6,7,3,8,15,7,10,11,8,5,7,9,10,7,11,11,7,7,10,9,8,7,4,12,14,9,12,13,8,6,7,9,7,12,5,12,4,6,13,8,10,14,8,12,11,5,11,6,5,7,9,12,10,10,10,4,7,8,7,7,15,11,7,12,4,7,13,8,13,10,11,8,12,9,7,7,8,4,7,7,8,3,7,6,8,10,7,8
"2024-11",6,12,15,9,10,7,11,13,9,10,4,10,16,9,9,8,9,6,8,5,11,5,9,9,5,9,13,7,10,6,7,4,6,4,7,10,6,6,4,6,2,8,7,6,6,5,14,10,9,5,4,4,6,11,7,8,7,8,10,7,8,5,10,7,15,7,10,8,3,5,5,3,10,8,9,9,12,8,10,9,7,17,9,8,7,7,11,7,9,9,7,7,8,9,12,5,11,4,9,12
"2024-12",7,7,6,8,9,7,12,6,8,8,12,6,9,6,7,11,8,9,4,10,14,7,9,11,6,6,5,4,7,10,6,10,9,3,7,7,13,7,6,7,10,3,8,14,9,9,10,9,7,13,12,12,9,12,3,9,7,4,5,8,14,12,10,6,9,7,10,11,5,10,12,10,5,9,8,12,11,6,9,7,1,4,6,7,11,6,7,8,4,10,11,9,10,10,7,14,9,13,12,8
"2025-01",10,5,11,12,2,11,5,13,10,12,16,5,6,11,6,6,8,15,6,15,8,6,6,9,6,9,6,10,6,11,11,8,5,7,5,9,9,12,6,11,9,13,6,4,4,6,9,6,9,4,13,15,8,8,7,5,6,7,12,13,3,18,12,8,7,7,7,9,16,6,9,7,6,9,5,14,9,5,8,13,5,8,5,6,4,5,11,10,12,7,7,17,4,10,10,6,5,5,5,8
"2025-02",5,8,11,2,10,4,3,5,6,6,4,8,5,6,9,2,5,9,11,9,6,7,4,8,13,9,5,7,7,9,4,5,11,8,2,9,7,10,8,9,5,13,11,3,8,5,6,13,8,7,9,6,2,9,13,9,6,11,15,8,9,10,10,8,7,10,7,9,9,5,7,10,1,6,7,8,6,11,6,6,11,9,8,3,10,3,7,4,4,4,8,17,9,5,9,7,12,11,11,9
"2025-03",5,8,9,8,6,9,8,6,7,13,8,6,8,6,6,11,10,12,8,9,4,9,9,6,8,15,7,9,6,5,7,14,11,7,8,5,5,6,9,11,7,5,5,11,15,7,10,11,11,5,8,7,7,12,11,4,7,9,6,8,8,17,7,14,5,9,10,11,13,9,7,10,12,8,10,9,8,5,6,11,7,8,9,10,5,12,8,6,11,5,8,9,8,6,6,10,5,5,9,11
"2025-04",6,5,5,8,8,11,13,10,10,13,7,5,5,10,8,11,7,6,11,10,3,8,9,10,9,6,4,5,10,3,6,9,9,8,4,13,4,4,10,10,11,3,9,12,10,12,5,9,10,13,9,3,11,12,10,6,8,12,9,7,12,5,5,7,6,11,8,8,7,7,5,7,3,7,6,9,8,13,11,11,7,9,10,6,4,8,10,7,6,8,10,10,13,4,9,3,9,10,11,6
"2025-05",7,7,6,10,11,7,12,9,9,13,11,9,4,7,6,6,5,2,11,9,7,5,12,6,14,7,4,5,7,7,17,12,12,8,10,6,10,11,6,6,8,7,4,5,10,13,6,5,4,7,7,11,6,5,12,11,9,13,16,5,7,7,6,13,14,6,12,7,12,9,8,12,14,5,11,10,12,7,13,7,8,9,6,5,7,8,6,4,11,11,7,8,6,8,11,5,4,5,7,12
"2025-06",7,11,11,10,6,10,9,8,11,10,9,7,9,11,10,10,5,6,5,12,10,18,9,5,6,9,9,5,2,10,7,7,9,5,13,7,9,4,8,16,10,8,6,7,7,7,6,11,6,7,11,5,12,9,11,6,9,7,11,7,6,10,8,6,7,8,6,7,12,8,7,7,10,5,9,8,8,7,7,8,5,10,10,5,4,5,9,5,5,7,5,8,8,5,10,12,6,10,10,9
"2025-07",15,8,6,5,11,10,13,5,6,7,8,13,6,8,8,10,17,4,5,13,8,14,5,3,7,8,7,7,8,7,9,3,5,9,4,6,11,7,3,4,10,8,6,7,6,11,4,11,18,8,5,9,4,14,10,8,16,8,4,8,11,4,6,10,7,9,11,13,9,4,4,11,9,6,8,12,7,8,10,11,13,8,4,7,5,16,14,6,9,8,8,6,9,5,14,11,7,13,9,7
